TCODE,TCODE_DESC,TCODE_URL,ABAP_PROGRAM,PACKAGE,PACKAGE_DESC,MODULE,MODULE_DESC,MODULE_URL,MODULE_TOP,MODULE_TOP_DESC,MODULE_TOP_URL,COMPONENT,COMPONENT_DESC,COMPONENT_URL
OAUP_LINK,"Update Links",https://www.sap-tcodes.org/tcode/oaup_link.html,OACHECK_EXPIRY,SAOP,"ArchiveLink general",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OAVIEW_IMC,"IMC Viewer for ArchiveLink",https://www.sap-tcodes.org/tcode/oaview_imc.html,OAVIEW_IMC,SAOP,"ArchiveLink general",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OAWD,"SAP ArchiveLink: Store documents",https://www.sap-tcodes.org/tcode/oawd.html,OAPREUSE,SAOA,"SAP ArchiveLink: Workflow and Office Integration",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OAWS,"Maintain presettings",https://www.sap-tcodes.org/tcode/oaws.html,OAPRESET,SAOA,"SAP ArchiveLink: Workflow and Office Integration",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OAWW,"ArchiveLink: Workflow Wizard",https://www.sap-tcodes.org/tcode/oaww.html,OAWFLWIZ,SAOA,"SAP ArchiveLink: Workflow and Office Integration",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OA_FIND,"SAP ArchiveLink: Document search",https://www.sap-tcodes.org/tcode/oa_find.html,ARCHIVELINK_DOCUMENT_FINDER,SAOP,"ArchiveLink general",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OA_LOG_VIEW_DOC,"Display Log of Documents",https://www.sap-tcodes.org/tcode/oa_log_view_doc.html,OA_LOG_VIEW_DOC,SAOL,"ArchiveLink: Record User Activities (Logging)",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OA_LOG_VIEW_PRI,"Display Log of Print Lists",https://www.sap-tcodes.org/tcode/oa_log_view_pri.html,OA_LOG_VIEW_PRI,SAOL,"ArchiveLink: Record User Activities (Logging)",BC-SRV-ARL,ArchiveLink,https://www.sap-tcodes.org/analytics/module/bc-srv-arl.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OB07,"C FI Maintain table TCURV",https://www.sap-tcodes.org/tcode/ob07.html," ",SFIB,"Financials: Components in Basis",BC-SRV-BSF-CUR,"Currency Conversion/Expiring Currency",https://www.sap-tcodes.org/analytics/module/bc-srv-bsf-cur.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OB08,"C FI Maintain table TCURR",https://www.sap-tcodes.org/tcode/ob08.html," ",SFIB,"Financials: Components in Basis",BC-SRV-BSF-CUR,"Currency Conversion/Expiring Currency",https://www.sap-tcodes.org/analytics/module/bc-srv-bsf-cur.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
